objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
9314,MTS,"20178246",MTSN 1 JAKARTA,Jl. Bangka Xi.b Rt.010/ 06 No. 51.a,-6.253900000000000,106.817700000000002,,"241"
9424,MTS,"20178263",MTSN 13 JAKARTA,Jl.muhtar Raya Gg.h.doel,-6.230200000000000,106.747299999999996,,"124"
8950,MTS,"20178139",MTSN 18 CIJANTUNG,Satya Raya Cijantung 3,-6.349320000000000,106.867486999999997,,"136"
8981,MTS,"20178090",MTSN 22 JAKARTA,Buni No.81 Rt.003/05,-6.340000000000000,106.896699999999996,,"148"
9020,MTS,"20178091",MTSN 29 JAKARTA,Jl. Makmur Rt005/03 No. 50,-6.328257000000000,106.897655000000000,,"220"
9088,MTS,"20178098",MTSN 7 MODEL JAKARTA,Pengantin Ali No.103,-6.308469000000000,106.876613000000006,,"210"
9092,MTS,"20178092",MTSN 30 JAKARTA,Jl. Masjid Al-Akbar No.51,-6.306677000000000,106.910369000000003,,"121"
9109,MTS,"20178138",MTSN 17 JAKARTA,Jl. Bakti 1 Rt. 005/09,-6.301962000000000,106.868118999999993,,"210"
9232,MTS,"20178134",MTSN 34 JAKARTA,Jl. Kerja Bakti 7 Rt.009/07 Kel. Makasar Kec. Makasar Jakarta Timur,-6.272685000000000,106.876940000000005,,"177"
9302,MTS,"20178133",MTSN 14 JAKARTA,Jl. Elang Komp. Rajawali,-6.257439300000000,106.888550499999994,,"131"
9332,MTS,"20178104",MTSN 42 JAKARTA,Jl. Komplek Ddn  Curug Rt.12/08 Pondok Kelapa,-6.249500000000000,106.921199999999999,,"242"
9403,MTS,"20178103",MTSN 21 PONDOK KELAPA,Jl. Padat Karya 3,-6.235800000000000,106.938699999999997,,"159"
9499,MTS,"20178119",MTSN 25 JAKARTA,I Gusti Ngurah Rai No.75,-6.215100000000000,106.895600000000002,,"219"
9540,MTS,"20178063",MTSN 31 JAKARTA,Jl. Dr. Krt. Radjiman Widya Diningrat Rt.011/07 Rawa Badung,-6.206100000000000,106.926199999999994,,"207"
9544,MTS,"20178060",MTSN 20 JAKARTA,Jl. Rawa Kuning No. 63,-6.205300000000000,106.959000000000003,,"129"
9582,MTS,"20178062",MTSN 28 JAKARTA,Jl. Rawa Kuning No. 32 Rt 010/002,-6.197700000000000,106.963600000000000,,"227"
9621,MTS,"20178061",MTSN 24 JAKARTA,Jl. Marzuki Vii Penggilingan Rt. 003/014 No. 1,-6.188400000000000,106.917599999999993,,"124"
9728,MTS,"20178196",MTSN 38 JAKARTA,Jl. Tambun Rengas No. 47 Rt. 001/007,-6.157800000000000,106.957400000000007,,"119"
9833,MTS,"20178195",MTSN 15 MARUNDA,Marunda Baru Iii No. 28,-6.125400000000000,106.959800000000001,,"150"
9914,MTS,"20178194",MTSN 5 JAKARTA,Jl. Sungai Landak No.10,-6.103600000000000,106.938599999999994,,"154"
10128,MTS,"20178214",MTSN 26 Kepulauan Seribu,Jl. Kampung Baru Rt 001/03,-5.795200000000000,106.485200000000006,,"143"
9929,MTS,"20112401",MTS NEGERI 37,Jl. Kebon 200 Rt.003/06,-6.097800000000000,106.703000000000003,,"175"
9082,MTS,"20178219",MTS Negeri 19 Jakarta,Jl. Pinang Kalijati Rt 008/09 No. 1,-6.310800000000000,106.804100000000005,,"241"
9224,MTS,"20178256",MTS NEGERI 23 JAKARTA,Kemuning Dalam I No. 148 Rt: 011/06,-6.275400000000000,106.851399999999998,,"137"
